No. of pkts,No. of Bytes,Iat,Duration,Label
3,1027,0.379901,0.749858,normal
4,1512,1.23966,4.339631,normal
4,2184,0.250028,0.550025,normal
8,4076,0.280057,3.01588,normal
7,3618,0.347934,1.790055,normal
8,3340,0.369812,3.178805,normal
4,877,0.010121,0.250108,normal
2,1375,0.37208,0.37208,normal
2,566,0.231149,0.231149,normal
4,1112,0.286189,0.622235,normal
4,1128,0.288561,0.598502,normal
6,1764,0.273881,0.960394,normal
8,2945,5.619724,24.820333,normal
4,1128,0.459757,1.079763,normal
3,2926,1.065763,1.087837,normal
5,638,6.661719,18.943316,normal
9,3442,0.600278,8.733882,normal
3,1011,0.245958,0.467902,normal
2,805,0.015609,0.015609,normal
3,1011,0.329894,0.618098,normal
6,3303,0.68008,3.159931,normal
4,1195,0.777907,2.739958,normal
2,541,0.229091,0.229091,normal
3,60,6.279704,9.388744,normal
4,877,0.010496,0.287574,normal
2,230,3.151458,3.151458,normal
4,893,0.040149,1.039699,normal
4,1181,0.009857,0.40087,normal
4,1160,0.322051,0.70199,normal
3,1121,0.573848,0.820044,normal
2,1485,18.638982,18.638982,normal
9,251,1.719616,19.479926,normal
2,42,19.940078,19.940078,normal
6,3410,0.257746,1.041888,normal
6,2951,0.159484,0.920042,normal
5,2520,0.331078,1.26074,normal
4,1508,0.099929,9.479941,normal
3,1027,0.509911,0.812043,normal
2,2124,3.1E-05,3.1E-05,normal
2,1318,1.651594,1.651594,normal
2,2565,0.020026,0.020026,normal
8,3036,0.282131,1.642067,normal
9,4438,0.299951,2.239873,normal
2,278,28.008886,28.008886,normal
3,1011,0.391514,0.647457,normal
6,606,0.815676,16.999769,normal
4,2566,0.253777,0.520113,normal
4,2168,0.239718,0.545754,normal
3,822,0.581097,0.906872,normal
3,758,8.803191,15.099358,normal
8,3506,0.235754,1.215915,normal
2,1442,5.350009,5.350009,normal
3,303,19.201269,33.810568,normal
4,1160,0.472843,1.014893,normal
4,1128,0.329968,0.780844,normal
40,51543,0.009926,1.212365,normal
2,293,15.472485,15.472485,normal
3,1011,0.327709,0.597573,normal
3,1011,5.162232,7.524287,normal
2,1168,0.079958,0.079958,normal
13,9343,0.016051,18.669884,normal
7,3554,0.283923,1.004044,normal
9,6869,0.370436,3.927882,normal
27,903,0.00922,20.409095,normal
2,584,2.139763,2.139763,normal
4,1112,0.30811,0.694947,normal
3,1011,0.794338,1.126283,normal
7,1112,1.600536,37.778486,normal
6,1563,0.656584,5.424595,normal
7,4066,0.328031,1.362093,normal
3,1011,0.422033,0.781352,normal
3,1314,0.377448,0.731326,normal
5,115,4.955052,18.700096,normal
2,1128,6.103485,6.103485,normal
2,1809,19.061528,19.061528,normal
7,555,8.527527,45.987469,normal
4,1826,0.261899,2.823792,normal
4,3040,13.313528,40.757509,normal
3,84,0.907997,1.811908,normal
2,124,0.079637,0.079637,normal
2,89,0.440919,0.440919,normal
3,1011,0.400097,0.759972,normal
2,1884,25.46794,25.46794,normal
2,1522,0.387206,0.387206,normal
5,1181,0.400163,28.31996,normal
14,171,3.040097,41.5599,normal
2,1718,31.019823,31.019823,normal
3,1528,0.340001,0.617955,normal
4,1160,0.985301,2.084962,normal
3,1304,1.785739,1.858169,normal
4,1233,2.830134,13.787685,normal
3,1011,0.362157,0.685781,normal
7,115,7.780031,41.29022,normal
10,6028,0.341093,3.245922,normal
2,1298,0.049519,0.049519,normal
4,893,3.6E-05,1.424277,normal
3,1027,1.039587,1.419777,normal
2,1214,0.31664,0.31664,normal
2,40,6.159758,6.159758,normal
4,148,0.651541,1.363601,normal
4,1128,0.800743,3.141343,normal
8,7351,0.058981,0.7928,normal
4,2468,2.409999,7.770049,normal
7,3175,3.463514,12.804125,normal
6,2866,0.319607,1.290029,normal
4,1128,0.459796,1.019915,normal
3,1147,1.860858,2.168167,normal
2,538,3.079242,3.079242,normal
3,821,1.323297,1.671334,normal
5,1006,1.104587,41.839151,normal
6,2082,0.280803,1.51792,normal
8,3612,0.598634,5.68857,normal
3,408,16.209839,19.330263,normal
2,152,24.856107,24.856107,normal
2,356,5.304728,5.304728,normal
2,1775,1.461402,1.461402,normal
13,10924,0.203928,3.742103,normal
3,1011,0.367858,0.648894,normal
3,1011,0.555925,0.865998,normal
3,1011,0.365956,0.672753,normal
4,368,3.251058,20.370397,normal
9,4076,0.266057,2.23769,normal
4,1128,0.309845,0.699049,normal
3,1011,0.341813,0.663813,normal
2,86,1.234737,1.234737,normal
4,1340,1.921831,4.668078,normal
3,1011,0.449831,0.869296,normal
5,1894,0.204142,11.572942,normal
4,1068,0.003703,0.238729,normal
3,1250,0.332316,0.412062,normal
3,1494,0.279954,0.480007,normal
34,8725,0.486251,48.041241,normal
2,604,0.204853,0.204853,normal
2,604,0.15826,0.15826,normal
28,13756,0.076275,39.385767,normal
2,229,0.236049,0.236049,normal
6,1900,0.180837,39.892555,normal
2,1980,11.167563,11.167563,normal
3,3073,9.267396,13.62596,normal
3,844,0.283014,0.557782,normal
6,202,0.396181,1.995701,normal
4,288,0.091087,3.323967,normal
8,3308,0.224301,1.79217,normal
2,194,5.952887,5.952887,normal
8,6234,2.901309,25.27378,normal
5,500,6.907365,21.184049,normal
2,202,36.739606,36.739606,normal
7,945,0.266001,8.97882,normal
2,107,3.720258,3.720258,normal
9,909,2.099857,36.759108,normal
5,505,14.238205,45.316752,normal
7,707,4.664208,25.070224,normal
15,1785,3.50671,45.778621,normal
2,202,3.861406,3.861406,normal
11,231,0.495951,42.084732,normal
23,348,0.504583,47.220309,normal
2,398,21.388659,21.388659,normal
3,822,1.048714,1.358872,normal
2,234,16.355833,16.355833,normal
1233,1573744,0.000476,48.097626,normal
80,2824,0.008155,5.780172,normal
2,827,0.516147,0.516147,normal
2,1626,9.264258,9.264258,normal
6,2316,0.379919,2.473514,normal
2,777,0.000243,0.000243,normal
2,467,29.220129,29.220129,normal
5,4919,0.170813,0.366484,normal
5,1048,0.168662,0.358934,normal
5,3002,5.140045,22.386136,normal
8,7010,5.158833,35.221944,normal
4,2438,0.200566,0.407219,normal
5,877,0.18203,11.799395,normal
4,4397,5E-06,0.004219,normal
4,4,0.161701,0.417635,normal
3,3506,3E-06,4E-06,normal
2,2268,0.007014,0.007014,normal
2,40,29.132442,29.132442,normal
2,985,0.6387,0.6387,normal
15,1515,2.640419,43.690073,normal
2,202,13.505109,13.505109,normal
11,1111,5.195012,45.754973,normal
5,498,0.375008,1.229941,normal
5,5,10.205014,40.795036,normal
10,505,5.110029,45.374942,normal
2,1254,1.003939,1.003939,normal
2,1982,4.112347,4.112347,normal
14,8352,2.280241,42.52925,normal
5,110,6.398758,21.881299,normal
5,110,6.314808,21.934683,normal
4,404,1.688276,14.645514,normal
9,1113,0.155152,14.373007,normal
7,3258,0.196878,1.315666,normal
2,28,3.248894,3.248894,normal
4,3140,0.014851,43.000711,normal
2,2,0.298355,0.298355,normal
6,4442,0.288517,4.438366,normal
2,315,0.233008,0.233008,normal
528,156384,0.000709,46.212277,normal
275,85750,0.003462,46.206916,normal
13,12740,0.193755,25.70374,normal
2,2,20.016236,20.016236,normal
2,40,29.046938,29.046938,normal
3,3269,0.000958,0.001152,normal
2,1852,40.446937,40.446937,normal
2,2,10.607485,10.607485,normal
2,1738,24.542894,24.542894,normal
231,72030,0.004858,42.171003,normal
2,954,13.695646,13.695646,normal
2,1169,18.59687,18.59687,normal
8,8,6.547172,40.747878,normal
4,2356,0.187904,0.387791,normal
4,1056,0.042977,0.231943,normal
3,1287,0.316393,0.535543,normal
5,3103,7.716051,26.544166,normal
6,120,3.189132,21.847157,normal
2,2298,0.001069,0.001069,normal
4,852,10.169305,30.509379,normal
4,1208,0.007842,0.187962,normal
2,1306,1.478585,1.478585,normal
2,1366,12.347532,12.347532,normal
2,902,0.505439,0.505439,normal
3,1651,21.422182,37.955232,normal
2,989,38.159961,38.159961,normal
4,3411,8.811677,26.382163,normal
7,2059,1.32057,24.206835,normal
4,2495,0.786816,2.707736,normal
308,96040,0.002013,45.812246,normal
580,198418,5.1E-05,46.227276,normal
352,104256,0.00073,38.949703,normal
198,61740,0.000743,46.20744,normal
3,324,4.029733,6.049581,normal
2,1049,10.653941,10.653941,normal
220,68600,0.000512,38.983802,normal
3,1783,27.116163,29.183264,normal
2,2734,7.4E-05,7.4E-05,normal
3,1705,8.887456,13.301643,normal
2,2,45.191227,45.191227,normal
2,1673,38.323818,38.323818,normal
2,2,45.159812,45.159812,normal
5,3450,0.180295,0.424319,normal
297,92610,2.7E-05,46.190147,normal
2,2463,6.7E-05,6.7E-05,normal
2,2289,0.001163,0.001163,normal
6,3309,0.686458,6.725475,normal
15,9719,4.008432,44.072536,normal
3,3372,24.386372,35.077314,normal
5,110,2.782216,9.034681,normal
3,2726,17.24986,25.084789,normal
5,3585,0.272154,1.653099,normal
434,128460,0.015189,46.31293,normal
440,130320,0.001411,46.317308,normal
418,123804,0.001407,46.235989,normal
6,3586,0.248232,1.142277,normal
2,2,19.800611,19.800611,normal
2,2,45.223218,45.223218,normal
3,3418,0.417143,0.425052,normal
2,2227,25.118409,25.118409,normal
3,1348,1.407777,1.688138,normal
41,10742,1.050385,45.331903,normal
198,61740,0.000308,43.708656,normal
3,1552,0.28169,0.504965,normal
4,3657,0.275655,2.688347,normal
2,982,17.41974,17.41974,normal
2,728,21.757278,21.757278,normal
2,588,0.351655,0.351655,normal
550,162900,7E-06,46.1875,normal
5,2827,0.120046,11.035185,normal
5,100,3.425586,9.562887,normal
2,40,29.458239,29.458239,normal
3,60,24.241484,36.743004,normal
12,8884,0.007599,47.608983,normal
4,80,0.008987,3.317539,normal
2,2,20.037722,20.037722,normal
8,3677,0.153901,1.607262,normal
5,1024,0.224795,0.495267,normal
7,5634,3.755883,20.729385,normal
8,4159,0.13094,0.821263,normal
7,5883,5.110664,20.890203,normal
3,1250,0.196928,0.197676,normal
2,851,14.490212,14.490212,normal
4,127,3.227051,9.421593,normal
2,196,34.095946,34.095946,normal
37,3925,0.421896,23.651946,normal
2,412,17.97581,17.97581,normal
5,823,10.180441,40.708151,normal
4,4,10.206297,30.624112,normal
5,5,10.161269,40.641733,normal
7,476,3.842208,26.70268,normal
6,408,2.23708,17.445535,normal
5,340,2.366201,8.947725,normal
2,864,0.011186,0.011186,normal
4,452,4.196472,11.450735,normal
3,399,0.498818,0.640636,normal
3,1361,0.184991,0.350878,normal
43,4483,0.842018,47.299618,normal
32,3328,0.905491,47.388045,normal
20,2330,1.0618,47.468316,normal
21,19356,0.000859,20.62963,normal
3,60,24.403356,36.506018,normal
2,40,12.143216,12.143216,normal
4,127,3.326448,9.342944,normal
3,1377,0.167114,0.167515,normal
2,202,4.536621,4.536621,normal
2,202,1.617861,1.617861,normal
2,202,3.21077,3.21077,normal
2,202,5.031244,5.031244,normal
2,832,10.703217,10.703217,normal
5,505,5.672351,18.857559,normal
2,40,24.180631,24.180631,normal
4,90,3.294955,9.594855,normal
3,303,34.809572,41.960276,normal
3,1477,0.168911,0.169629,normal
3,309,27.987693,32.979586,normal
10,260,5.008053,45.066932,normal
4,2714,10.832505,32.223525,normal
5,1142,0.184956,0.385817,normal
5,5,10.16428,40.648518,normal
6,2086,0.195572,0.516781,normal
2,40,24.060996,24.060996,normal
5,100,3.125648,9.327573,normal
2,40,29.214797,29.214797,normal
2,40,24.082903,24.082903,normal
2,40,24.08412,24.08412,normal
2,40,29.247805,29.247805,normal
2,708,14.376796,14.376796,normal
6,3084,0.180768,1.112907,normal
9,1033,1.476821,25.594954,normal
2,2,45.170649,45.170649,normal
2,638,11.01284,11.01284,normal
10,2575,0.176522,13.977491,normal
5,2780,6.905198,25.582114,normal
4,1208,0.198025,0.41633,normal
4,404,8.521092,21.493252,normal
2,2,0.09947,0.09947,normal
4,4612,13.258238,34.35138,normal
4,1208,0.15827,0.696252,normal
5,100,3.49042,9.59931,normal
2,40,24.527536,24.527536,normal
7,3350,6.11478,45.799075,normal
3,60,24.493316,36.765599,normal
3,60,24.517072,36.794205,normal
7,3350,3.4966,24.987856,normal
2,40,24.04412,24.04412,normal
6,120,3.168578,21.579291,normal
6,120,3.025036,21.413603,normal
2,40,24.529351,24.529351,normal
2,40,29.14523,29.14523,normal
6,6,4.567125,45.243361,normal
2,115,5.641208,5.641208,normal
9,9166,3.839211,39.841819,normal
3,1422,0.191104,0.351628,normal
3,303,20.075201,24.324783,normal
2,237,10.166551,10.166551,normal
6,6163,4.268826,24.409858,normal
2,40,29.296562,29.296562,normal
7,4124,6.009097,42.512856,normal
2,728,0.149238,0.149238,normal
7,140,6.185177,45.852806,normal
6,120,3.34633,22.311013,normal
2,40,29.308261,29.308261,normal
4,80,12.337507,42.743004,normal
5,100,3.127082,9.313782,normal
6,408,2.162204,16.74355,normal
6,120,3.023164,21.566369,normal
6,795,3.046268,18.941125,normal
4,80,0.184746,3.584945,normal
5,130,0.289167,2.027254,normal
3,60,6.095447,9.472672,normal
3,60,6.105715,9.180492,normal
2,2,20.014293,20.014293,normal
28,23566,0.001586,41.60121,normal
2,604,0.183132,0.183132,normal
3,1524,0.257326,0.471364,normal
2,937,1.62253,1.62253,normal
6,2845,0.313913,19.597703,normal
2,136,7.843721,7.843721,normal
5,505,7.984239,26.146683,normal
2,2,0.01229,0.01229,normal
2,2,45.167738,45.167738,normal
2,702,0.536299,0.536299,normal
